Course,Location,URL,Status_code,Remark,flag
EDT-801_C_07-19-2016: EDT-801 C D Digital Age Assessment 201710,Authentic Assessment\Opportunities for Learning and Practice: Authentic Assessment\Resources,http://pareonline.net/getvn.asp?v=17&amp;n=2,500,,2
EDT-820_2.0_01-15-2015: EDT-820 CBE R Blended Learning (01-15-2015) v.2,Blended Learning Models\Opportunities for Learning & Practice: Blended Learning Model\Resources,http://www.innosightinstitute.org/innosight/wp-content/uploads/2012/05/Classifying-K-12-blended-learning2.pdf ,777,Exceeded 30 redirects.,2
EDT-820_2.0_01-15-2015: EDT-820 CBE R Blended Learning (01-15-2015) v.2,Blended Learning Environments\Opportunities for Learning & Practice: Blended Learning Environments\Resources,https://www.khanacademy.org/partner-content/ssf-cci/sscc-teaching-blended-learning,405,,2
EDT-820_2.0_01-15-2015: EDT-820 CBE R Blended Learning (01-15-2015) v.2,Rotation Model of Blended Learning\Opportunities for Learning & Practice: Rotation Model of Blended Learning\Resources,http://www.innosightinstitute.org/innosight/wp-content/uploads/2011/05/The-Rise-of-K-12-Blended-Learning.pdf,777,Exceeded 30 redirects.,2
EDT-820_2.0_01-15-2015: EDT-820 CBE R Blended Learning (01-15-2015) v.2,Rotation Model of Blended Learning\Opportunities for Learning & Practice: Rotation Model of Blended Learning\Resources,https://www.khanacademy.org/partner-content/ssf-cci/sscc-intro-blended-learning/sscc-blended-learning-models/v/sscc-blended-station,405,,2
EDT-820_2.0_01-15-2015: EDT-820 CBE R Blended Learning (01-15-2015) v.2,Rotation Model of Blended Learning\Opportunities for Learning & Practice: Rotation Model of Blended Learning\Resources,http://www.innosightinstitute.org/innosight/wp-content/uploads/2012/05/Classifying-K-12-blended-learning2.pdf,777,Exceeded 30 redirects.,2
EDT-820_2.0_01-15-2015: EDT-820 CBE R Blended Learning (01-15-2015) v.2,Flex Model of Blended Learning\Opportunities for Learning & Practice: Flex Model of Blended Learning\Resources,http://www.imagesofhopeinc.org/an-introduction-to-blended-learning-through-the-flex-model-career-training.html,777,"HTTPConnectionPool(host='www.imagesofhopeinc.org', port=80): Max retries exceeded with url: /an-introduction-to-blended-learning-through-the-flex-model-career-training.html (Caused by NewConnectionError('<requests.packages.urllib3.connection.HTTPConnection object at 0x00000000092921D0>: Failed to establish a new connection: [Errno 11004] getaddrinfo failed',))",2
EDT-820_2.0_01-15-2015: EDT-820 CBE R Blended Learning (01-15-2015) v.2,Enriched-Virtual Model of Blended Learning\Opportunities for Learning & Practice: Enriched Virtual Model of Blended Learning\Resources,http://www.innosightinstitute.org/innosight/wp-content/uploads/2012/05/Classifying-K-12-blended-learning2.pdf,777,Exceeded 30 redirects.,2
EDT-820_2.0_01-15-2015: EDT-820 CBE R Blended Learning (01-15-2015) v.2,Self-Blended Model of Blended Learning\Opportunities for Learning & Practice: Self-Blended Model of Blended Learning\Resources,http://www.innosightinstitute.org/innosight/wp-content/uploads/2012/05/Classifying-K-12-blended-learning2.pdf,777,Exceeded 30 redirects.,2
EDT-820_2.0_01-15-2015: EDT-820 CBE R Blended Learning (01-15-2015) v.2,Self-Blended Model of Blended Learning\Opportunities for Learning & Practice: Self-Blended Model of Blended Learning\Resources,http://www.innosightinstitute.org/innosight/wp-content/uploads/2011/05/The-Rise-of-K-12-Blended-Learning.pdf,777,Exceeded 30 redirects.,2
EDT-820_2.0_01-15-2015: EDT-820 CBE R Blended Learning (01-15-2015) v.2,Blended Learning and Differentiated Instruction\Opportunities for Learning & Practice: Blended Learning and Differentiated Instruction\Resources,http://www.microsoft.com/getsilverlight/Get-Started/Install/Default.aspx,503,,2
