Course,Location,URL,Status_code,Remark,flag
AL-474_I_08-22-2016: AL-474 I P Integrative Project 201730 (03-10-2017),Week 1\Your Money Counts and the Marketing Plan,https://concordia.blackboard.com/bbcswebdav/pid-614439-dt-content-rid-3788144_1/xid-3788144_1,302,Blackboard Redirect,0
AL-474_I_08-22-2016: AL-474 I P Integrative Project 201730 (03-10-2017),Week 1\Your Money Counts and the Marketing Plan,https://concordia.blackboard.com/bbcswebdav/pid-614439-dt-content-rid-4434725_1/xid-4434725_1,302,Blackboard Redirect,0
AL-474_I_08-22-2016: AL-474 I P Integrative Project 201730 (03-10-2017),Week 1\Your Money Counts and the Marketing Plan,https://concordia.blackboard.com/bbcswebdav/pid-614439-dt-content-rid-3788144_1/xid-3788144_1,302,Blackboard Redirect,0
AL-474_I_08-22-2016: AL-474 I P Integrative Project 201730 (03-10-2017),Week 1\Your Money Counts and the Marketing Plan,http://compassebooks.org,403,OK,0
AL-474_I_08-22-2016: AL-474 I P Integrative Project 201730 (03-10-2017),Week 1\Your Money Counts and the Marketing Plan,https://concordia.blackboard.com/bbcswebdav/pid-614439-dt-content-rid-4322937_1/xid-4322937_1,302,Blackboard Redirect,0
AL-474_I_08-22-2016: AL-474 I P Integrative Project 201730 (03-10-2017),Week 1\Your Money Counts and the Marketing Plan,https://concordia.blackboard.com/bbcswebdav/pid-614439-dt-content-rid-4359016_1/xid-4359016_1,302,Blackboard Redirect,0
AL-474_I_08-22-2016: AL-474 I P Integrative Project 201730 (03-10-2017),Week 1\Your Money Counts and the Marketing Plan,https://concordia.blackboard.com/bbcswebdav/pid-614439-dt-content-rid-4359017_1/xid-4359017_1,302,Blackboard Redirect,0
AL-474_I_08-22-2016: AL-474 I P Integrative Project 201730 (03-10-2017),Week 1\Your Money Counts and the Marketing Plan,https://concordia.blackboard.com/bbcswebdav/pid-614439-dt-content-rid-4359018_1/xid-4359018_1,302,Blackboard Redirect,0
AL-474_I_08-22-2016: AL-474 I P Integrative Project 201730 (03-10-2017),Week 1\Your Money Counts and the Marketing Plan,https://concordia.blackboard.com/bbcswebdav/pid-614439-dt-content-rid-4359019_1/xid-4359019_1,302,Blackboard Redirect,0
AL-474_I_08-22-2016: AL-474 I P Integrative Project 201730 (03-10-2017),Week 1\Your Money Counts and the Marketing Plan,https://concordia.blackboard.com/bbcswebdav/pid-614439-dt-content-rid-4359020_1/xid-4359020_1,302,Blackboard Redirect,0
