Course,Location,URL_Name,URL
AL-266_I_06-15-2015: AL-266 I P Staffing 06-15-2015,Unit 3\Unit 3,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1773261947?accountid=10249,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1773261947?accountid=10249
AL-266_I_06-15-2015: AL-266 I P Staffing 06-15-2015,Unit 3\Unit 3,http://search.proquest.com.proxy01.cuaa.edu/docview/1773261947?accountid=10245,http://search.proquest.com.proxy01.cuaa.edu/docview/1773261947?accountid=10245
AL-266_I_06-15-2015: AL-266 I P Staffing 06-15-2015,"Unit 3\(3) Final Project - Section 1 - Job Title, Description, and Specification",http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1773261947?accountid=10249,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1773261947?accountid=10249
AL-266_I_06-15-2015: AL-266 I P Staffing 06-15-2015,"Unit 3\(3) Final Project - Section 1 - Job Title, Description, and Specification",http://search.proquest.com.proxy01.cuaa.edu/docview/1773261947?accountid=10245,http://search.proquest.com.proxy01.cuaa.edu/docview/1773261947?accountid=10245
EDG-876_C_01-19-2016: EDG-876 C P Literature for Children K-12 201630 04-06-2016,Week 7\7.2 Assignment: Journal Article Critique #3,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/199406318?accountid=10249 ,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/199406318?accountid=10249%20
EDG-876_C_01-19-2016: EDG-876 C P Literature for Children K-12 201630 04-06-2016,Week 7\7.2 Assignment: Journal Article Critique #3,http://search.proquest.com.proxy01.cuaa.edu/docview/199406318?accountid=10245,http://search.proquest.com.proxy01.cuaa.edu/docview/199406318?accountid=10245
EDG-876_C_01-19-2016: EDG-876 C P Literature for Children K-12 201630 04-06-2016,Week 8\Week 8,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1315167161?accountid=10249,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1315167161?accountid=10249
EDG-876_C_01-19-2016: EDG-876 C P Literature for Children K-12 201630 04-06-2016,Week 8\Week 8,http://search.proquest.com.proxy01.cuaa.edu/docview/1315167161?accountid=10245,http://search.proquest.com.proxy01.cuaa.edu/docview/1315167161?accountid=10245
11630-201810: Literature for Children K-12 EDG 876 DL1 11630-201810,Unit 7\7.2 Assignment: Journal Article Critique #3,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/199406318?accountid=10249 ,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/199406318?accountid=10249%20
11630-201810: Literature for Children K-12 EDG 876 DL1 11630-201810,Unit 7\7.2 Assignment: Journal Article Critique #3,http://search.proquest.com.proxy01.cuaa.edu/docview/199406318?accountid=10245,http://search.proquest.com.proxy01.cuaa.edu/docview/199406318?accountid=10245
11630-201810: Literature for Children K-12 EDG 876 DL1 11630-201810,Unit 8\Unit 8,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1315167161?accountid=10249,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1315167161?accountid=10249
11630-201810: Literature for Children K-12 EDG 876 DL1 11630-201810,Unit 8\Unit 8,http://search.proquest.com.proxy01.cuaa.edu/docview/1315167161?accountid=10245,http://search.proquest.com.proxy01.cuaa.edu/docview/1315167161?accountid=10245
mba-879_I_03-16-2017: MBA-879 I D Strategic Innovation 201730,Week 3\Opportunity Finding,CUW students click here,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/845235466?accountid=10249
mba-879_I_03-16-2017: MBA-879 I D Strategic Innovation 201730,Week 3\Opportunity Finding,CUAA students click here,http://search.proquest.com.proxy01.cuaa.edu/docview/845235466?accountid=10249
mba-879_I_03-16-2017: MBA-879 I D Strategic Innovation 201730,Week 3\Opportunity Finding,CUW students click here,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/224959320?accountid=10249
mba-879_I_03-16-2017: MBA-879 I D Strategic Innovation 201730,Week 6\Gaining Buy-In,CUW students click here,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/224962173?accountid=10249
mba-879_I_03-16-2017: MBA-879 I D Strategic Innovation 201730,Week 6\Gaining Buy-In,CUAA students click here,http://search.proquest.com.proxy01.cuaa.edu/docview/224962173?accountid=10249
OT-540_C_03-22-2017: OT-540 C P TMOT Scientific Inquiry I 201730 03-22-2017,Week 2\2.3 Article Breakdown Discussion,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1673468117/fulltextPDF/349AEBAF28144625PQ/1?accountid=10249,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1673468117/fulltextPDF/349AEBAF28144625PQ/1?accountid=10249
OT-540_C_03-22-2017: OT-540 C P TMOT Scientific Inquiry I 201730 03-22-2017,First Weekend\Abstract Studies Group Activity,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/863579220?OpenUrlRefId=info:xri/sid:summon&accountid=10249,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/863579220?OpenUrlRefId=info:xri/sid:summon&amp;accountid=10249
OT-540_C_03-22-2017: OT-540 C P TMOT Scientific Inquiry I 201730 03-22-2017,Week 4\Weekly Overview,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1509022620?pq-origsite=summon&http://search.proquest.com/nursing/advanced?accountid%20=10249,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1509022620?pq-origsite=summon&amp;http://search.proquest.com/nursing/advanced?accountid%20=10249
OT-603_C_10-11-2016: OT-603 C P TMOT Practice Management 201710,Unit 3\Unit Overview,Shaping effective communication skills and therapeutic relationships at work.,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/219332503?accountid=10249
OT-603_C_10-11-2016: OT-603 C P TMOT Practice Management 201710,Unit 7\Unit Overview,Value based healthcare.,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1754525671?accountid=10249
